OutputerStream
==========================================================================
Started:07/02/20 00:37:26 India Standard Time
==========================================================================
notification,step,stepDate,fracOfStep,stepLenInYears,initial_values,atmosphere,soil,
onOutputStep,53,2004-05-31:23:59:59.999999,1,0.0846994535519126,0,1.5,-1.5,
onOutputStep,54,2004-06-30:23:59:59.999999,1,0.0819672131147541,0,1.5,-1.5,
onOutputStep,55,2004-07-31:23:59:59.999999,1,0.0846994535519126,0,1.5,-1.5,
onOutputStep,56,2004-08-31:23:59:59.999999,1,0.0846994535519126,0,1.5,-1.5,
onOutputStep,57,2004-09-30:23:59:59.999999,1,0.0819672131147541,0,1.5,-1.5,
onOutputStep,58,2004-10-31:23:59:59.999999,1,0.0846994535519126,0,1.5,-1.5,
onOutputStep,59,2004-11-30:23:59:59.999999,1,0.0819672131147541,0,1.5,-1.5,
onOutputStep,60,2004-12-31:23:59:59.999999,1,0.0846994535519126,0,1.5,-1.5,
==========================================================================
Finished:07/02/20 00:37:26 India Standard Time
==========================================================================
